구,지점명,연평균_교통량
서울시 마포구,가양대교,52086
서울시 강남구,강남대로(강남역-신분당),25557
서울시 강남구,강남대로(신사역),36401
서울시 용산구,강변북로,107385
서울시 마포구,강변북로(난지한강공원),126214
서울시 강서구,강서로(화곡터널),10680
서울시 구로구,개봉로(개봉교),3365
서울시 서초구,경부고속도로,94381
서울시 서초구,경부고속도로(양재IC),91744
서울시 양천구,경인고속국도(신월IC),69801
서울시 구로구,경인로(거리공원입구교차로),23462
서울시 영등포구,경인로(서울교),42637
서울시 구로구,경인로(오류IC),18874
서울시 중랑구,경춘북로(중랑경찰서),12261
서울시 강서구,공항대로(발산역),23291
서울시 서초구,과천대로(남태령역),25849
서울시 금천구,광명대교(광명시계),11792
서울시 강동구,광진교,6752
서울시 영등포구,국회대로(여의2교),22852
서울시 구로구,금오로(광명시계),3538
서울시 금천구,금천교(광명시계),19688
서울시 관악구,남부순환로(낙성대역),12305
서울시 강남구,남부순환로(수서IC),20736
서울시 양천구,남부순환로(신월IC),34768
서울시 서초구,남부순환로(예술의전당),38479
서울시 양천구,남부순환로(화곡로입구 교차로),4837
서울시 용산구,남산1호터널,33165
서울시 용산구,남산2호터널,9111
서울시 용산구,남산3호터널,16204
서울시 성북구,내부순환로,68201
서울시 성북구,대사관로(삼청터널),2946
서울시 종로구,대학로(한국방송통신대학교),13464
서울시 도봉구,도봉로(도봉산역),23301
서울시 도봉구,도봉로(쌍문역),7473
서울시 동대문구,동부간선도로,67784
서울시 노원구,동부간선도로(상도지하차도),32448
서울시 노원구,동부간선도로(월계1교),54885
서울시 성북구,동소문로(길음교사거리),18445
서울시 성동구,동일로(군자교),26865
서울시 노원구,동일로(노원역),8393
서울시 노원구,동일로(의정부IC),16794
서울시 용산구,동작대교,23262
서울시 서초구,동작대로(총신대입구역),37204
서울시 성동구,동호대교,32324
서울시 중구,동호로(금호터널),28264
서울시 중구,동호로(장충체육관),25686
서울시 성동구,뚝섬로(용비교),26268
서울시 영등포구,마포대교,54151
서울시 관악구,문성로(난곡터널),6214
서울시 서초구,반포대교,41216
서울시 서초구,반포대로(서초역),32880
서울시 서초구,반포대로(우면산터널),15928
서울시 강남구,밤고개로(세곡동사거리),16280
서울시 송파구,백제고분로(종합운동장),17538
서울시 중랑구,북부간선도로(신내IC),59592
서울시 성북구,북부간선로,52902
서울시 강남구,분당수서로,65010
서울시 송파구,분당수서로(성남시계),47491
서울시 종로구,사직로(사직터널),15134
서울시 서초구,사평대로(고속터미널역),29369
서울시 종로구,새문안로(서울역사박물관),16212
서울시 영등포구,서강대교,19072
서울시 영등포구,서부간선도로(오목교),52743
서울시 금천구,서부간선지하도로,24692
서울시 용산구,서빙고로(한남역),40420
서울시 중구,서소문로(시청역),14925
서울시 은평구,서오릉로(고양시계),21160
서울시 마포구,성산대교,65013
서울시 서대문구,성산로(금화터널),28794
서울시 서대문구,성산로(연희IC),26798
서울시 성동구,성수대교,60013
서울시 중구,세종대로(서울역),12707
서울시 중구,세종대로(시청역2),26583
서울시 중구,소월로(회현역),3770
서울시 중구,소파로(숭의여자대학교),2846
서울시 송파구,송파대로(복정역),11370
서울시 송파구,송파대로(송파역),30722
서울시 은평구,수색로(고양시계),17180
서울시 영등포구,시흥대로(구로디지털단지역),19672
서울시 금천구,시흥대로(석수역),10357
서울시 금천구,시흥대로(시흥IC),25830
서울시 양천구,신월여의지하도로,27766
서울시 구로구,신정로(작동터널),17130
서울시 광진구,아차산로(워커힐),3292
서울시 동작구,양녕로(상도터널),20952
서울시 마포구,양화대교,55661
서울시 강남구,언주로(매봉터널),24733
서울시 영등포구,여의대방로(여의교),38821
서울시 서대문구,연희로(연희IC),17675
서울시 광진구,영동대교,55511
서울시 영등포구,영등포로(오목교),21306
서울시 구로구,오리로(광명시계),10137
서울시 강서구,오정로(부천시계),7862
서울시 송파구,올림픽대교,32577
서울시 동작구,올림픽대로,120117
서울시 강동구,올림픽대로(강일IC),94641
서울시 영등포구,원효대교,23129
서울시 마포구,월드컵대교,29223
서울시 종로구,율곡로(안국역),19422
서울시 중구,을지로(을지로3가역),6465
서울시 종로구,자하문로(자하문터널),8791
서울시 서초구,잠수교,8755
서울시 송파구,잠실대교,42484
서울시 중구,장충단로(장충단공원),17652
서울시 종로구,종로(동묘앞역),7395
서울시 종로구,종로(종로3가역),19264
서울시 은평구,증산로(디지털미디어시티역),7213
서울시 종로구,진흥로(구기터널),14185
서울시 종로구,창경궁로(서울여자대학교),19262
서울시 송파구,천호대교,30855
서울시 성동구,천호대로(군자교),21887
서울시 강동구,천호대로(상일IC),48170
서울시 금천구,철산교(광명시계),14858
서울시 강남구,청담대교,59385
서울시 중구,칠패로(숭례문),4208
서울시 강남구,테헤란로(선릉역),13721
서울시 서대문구,통일로(산골고개정류장),22238
서울시 중구,퇴계로(신당역),10444
서울시 중구,퇴계로(회현역),14045
서울시 종로구,평창문화로(북악터널),15031
서울시 용산구,한강대교,43268
서울시 강남구,한남대교,84603
서울시 강서구,행주대교,46897
서울시 강남구,헌릉로(세곡동사거리),16484
서울시 양천구,화곡로(화곡로입구),8856
서울시 성북구,화랑로(상월곡역),28497
서울시 노원구,화랑로(조선왕릉),22880
