발생건수, 2015년 , 2016년 , 2017년 , 2018년 , 2019년 , 2020년 , 2021년 ,2022년,2023년,2024년
 01월 ,1533,2462,603,639,172,274,367,194,447,432
 02월 ,1650,2344,945,438,140,266,338,263,230,686
 03월 ,1593,1572,1015,957,196,396,577,344,265,482
 04월 ,1452,893,803,552,158,219,388,325,453,463
 05월 ,1381,843,716,449,155,317,403,236,508,406
 06월 ,1221,691,603,389,209,449,356,352,646,327
 07월 ,1425,905,564,264,525,884,452,460,1100,546
 08월 ,1455,893,818,282,400,939,435,1389,707,315
 09월 ,1121,714,364,197,569,326,368,343,597,417
 10월 ,1083,791,233,147,487,106,230,212,189,356
 11월 ,1301,997,297,122,385,140,208,193,278,314
 12월 ,2360,1074,228,117,321,124,163,198,381,248
